phrase,hsk_level,type
打算,3,word
啊,3,word
跟,3,word
小丽,3,word
小刚,3,word
一直,3,word
游戏,3,word
作业,3,word
着急,3,word
复习,3,word
南方,3,word
北方,3,word
面包,3,word
带,3,word
地图,3,word
搬,3,word
腿,3,word
疼,3,word
脚,3,word
树,3,word
容易,3,word
难,3,word
经理,3,word
办公室,3,word
周明,3,word
周,3,word
辆,3,word
楼,3,word
拿,3,word
把,3,word
伞,3,word
胖,3,word
其实,3,word
瘦,3,word
还是,3,word
爬山,3,word
小心,3,word
条,3,word
裤子,3,word
记得,3,word
衬衫,3,word
元,3,word
新鲜,3,word
甜,3,word
只,3,word
放,3,word
饮料,3,word
或者,3,word
舒服,3,word
花,3,word
绿,3,word
比赛,3,word
照片,3,word
年级,3,word
又,3,word
马可,3,word
小明,3,word
聪明,3,word
热情,3,word
努力,3,word
总是,3,word
回答,3,word
站,3,word
饿,3,word
超市,3,word
蛋糕,3,word
年轻,3,word
认真,3,word
客人,3,word
李小美,3,word
发烧,3,word
为,3,word
照顾,3,word
用,3,word
感冒,3,word
张,3,word
季节,3,word
当然,3,word
春天,3,word
草,3,word
夏天,3,word
裙子,3,word
最近,3,word
越,3,word
突然,3,word
离开,3,word
清楚,3,word
刚才,3,word
帮忙,3,word
特别,3,word
讲,3,word
明白,3,word
锻炼,3,word
音乐,3,word
公园,3,word
聊天儿,3,word
更,3,word
同事,3,word
以前,3,word
银行,3,word
久,3,word
感兴趣,3,word
结婚,3,word
欢迎,3,word
迟到,3,word
半,3,word
接,3,word
刻,3,word
差,3,word
又,3,word
满意,3,word
电梯,3,word
层,3,word
害怕,3,word
熊猫,3,word
见面,3,word
安静,3,word
一会儿,3,word
马上,3,word
洗手间,3,word
老,3,word
几乎,3,word
变化,3,word
健康,3,word
重要,3,word
中文,3,word
班,3,word
一样,3,word
最后,3,word
放心,3,word
一定,3,word
担心,3,word
比较,3,word
了解,3,word
先,3,word
中间,3,word
参加,3,word
影响,3,word
个子,3,word
矮,3,word
历史,3,word
体育,3,word
数学,3,word
方便,3,word
自行车,3,word
骑,3,word
旧,3,word
换,3,word
地方,3,word
主要,3,word
环境,3,word
附近,3,word
图书馆,3,word
借,3,word
词典,3,word
还,3,word
灯,3,word
会议,3,word
结束,3,word
忘记,3,word
空调,3,word
关,3,word
地铁,3,word
双,3,word
筷子,3,word
啤酒,3,word
口,3,word
瓶子,3,word
笔记本电脑,3,word
电子邮件,3,word
习惯,3,word
太阳,3,word
西,3,word
生气,3,word
行李箱,3,word
自己,3,word
包,3,word
发现,3,word
护照,3,word
起飞,3,word
司机,3,word
教,3,word
画,3,word
需要,3,word
黑板,3,word
终于,3,word
爷爷,3,word
礼物,3,word
奶奶,3,word
遇到,3,word
一边,3,word
过去,3,word
一般,3,word
愿意,3,word
起来,3,word
应该,3,word
校长,3,word
坏,3,word
经常,3,word
打扫,3,word
干净,3,word
然后,3,word
冰箱,3,word
洗澡,3,word
节目,3,word
月亮,3,word
像,3,word
盘子,3,word
刮风,3,word
叔叔,3,word
阿姨,3,word
故事,3,word
声音,3,word
菜单,3,word
简单,3,word
香蕉,3,word
留学,3,word
水平,3,word
提高,3,word
练习,3,word
完成,3,word
句子,3,word
其他,3,word
发,3,word
要求,3,word
注意,3,word
小云,3,word
上网,3,word
除了,3,word
新闻,3,word
花,3,word
极了,3,word
节日,3,word
世界,3,word
街道,3,word
文化,3,word
城市,3,word
如果,3,word
认为,3,word
皮鞋,3,word
帽子,3,word
长,3,word
可爱,3,word
米,3,word
公斤,3,word
鼻子,3,word
头发,3,word
检查,3,word
刷牙,3,word
关系,3,word
别人,3,word
请假,3,word
一共,3,word
邻居,3,word
后来,3,word
爱好,3,word
办法,3,word
饱,3,word
为了,3,word
决定,3,word
选择,3,word
冬天,3,word
必须,3,word
根据,3,word
口,3,word
渴,3,word
向,3,word
万,3,word
只,3,word
嘴,3,word
动物,3,word
段,3,word
不但……而且……,3,word
有名,3,word
同意,3,word
相信,3,word
关于,3,word
机会,3,word
国家,3,word
种,3,word
奇怪,3,word
地,3,word
耳朵,3,word
脸,3,word
短,3,word
马,3,word
张,3,word
位,3,word
蓝,3,word
秋天,3,word
过,3,word
鸟,3,word
哭,3,word
黄河,3,word
船,3,word
经过,3,word
照相机,3,word
被,3,word
难过,3,word
东,3,word
信用卡,3,word
关心,3,word
只有……才……,3,word
成绩,3,word
碗,3,word
分,3,word
解决,3,word
试,3,word
多么,3,word
极,3,word
角,3,word
笔记本,3,word
秋,3,word
南,3,word
春,3,word
夏,3,word
冬,3,word
北方,3,word
法律,4,word
俩,4,word
印象,4,word
深,4,word
熟悉,4,word
不仅,4,word
性格,4,word
开玩笑,4,word
从来,4,word
最好,4,word
共同,4,word
适合,4,word
幸福,4,word
生活,4,word
刚,4,word
浪漫,4,word
够,4,word
缺点,4,word
接受,4,word
羡慕,4,word
爱情,4,word
即使,4,word
加班,4,word
感动,4,word
自然,4,word
原因,4,word
互相,4,word
吸引,4,word
幽默,4,word
脾气,4,word
适应,4,word
交,4,word
平时,4,word
逛,4,word
短信,4,word
正好,4,word
聚会,4,word
联系,4,word
差不多,4,word
专门,4,word
毕业,4,word
麻烦,4,word
好像,4,word
重新,4,word
尽管,4,word
真正,4,word
友谊,4,word
丰富,4,word
无聊,4,word
讨厌,4,word
却,4,word
周围,4,word
交流,4,word
理解,4,word
镜子,4,word
而,4,word
当,4,word
困难,4,word
及时,4,word
陪,4,word
挺,4,word
紧张,4,word
信心,4,word
能力,4,word
招聘,4,word
提供,4,word
负责,4,word
本来,4,word
应聘,4,word
材料,4,word
符合,4,word
通知,4,word
律师,4,word
专业,4,word
另外,4,word
收入,4,word
咱们,4,word
安排,4,word
首先,4,word
正式,4,word
留,4,word
其次,4,word
诚实,4,word
改变,4,word
感觉,4,word
判断,4,word
顾客,4,word
准时,4,word
不管,4,word
与,4,word
约会,4,word
提,4,word
以为,4,word
份,4,word
完全,4,word
赚,4,word
调查,4,word
原来,4,word
计划,4,word
提前,4,word
保证,4,word
提醒,4,word
乱,4,word
生意,4,word
谈,4,word
积累,4,word
经验,4,word
一切,4,word
按照,4,word
成功,4,word
顺利,4,word
感谢,4,word
消息,4,word
按时,4,word
奖金,4,word
工资,4,word
方法,4,word
知识,4,word
不得不,4,word
甚至,4,word
责任,4,word
家具,4,word
沙发,4,word
打折,4,word
价格,4,word
质量,4,word
肯定,4,word
流行,4,word
顺便,4,word
台,4,word
光,4,word
实在,4,word
效果,4,word
现金,4,word
邀请,4,word
葡萄,4,word
艺术,4,word
广告,4,word
味道,4,word
优点,4,word
实际,4,word
考虑,4,word
标准,4,word
样子,4,word
年龄,4,word
浪费,4,word
购物,4,word
尤其,4,word
受,4,word
任何,4,word
寄,4,word
果汁,4,word
售货员,4,word
袜子,4,word
打扰,4,word
竟然,4,word
西红柿,4,word
百分之,4,word
倍,4,word
皮肤,4,word
好处,4,word
尝,4,word
轻,4,word
方面,4,word
值得,4,word
活动,4,word
内,4,word
免费,4,word
修理,4,word
支持,4,word
举行,4,word
满,4,word
其中,4,word
小说,4,word
所有,4,word
获得,4,word
情况,4,word
例如,4,word
举办,4,word
各,4,word
降低,4,word
擦,4,word
气候,4,word
估计,4,word
咳嗽,4,word
严重,4,word
窗户,4,word
空气,4,word
抽烟,4,word
动作,4,word
帅,4,word
出现,4,word
后悔,4,word
来不及,4,word
反对,4,word
大夫,4,word
植物,4,word
研究,4,word
超过,4,word
散步,4,word
指,4,word
教授,4,word
数字,4,word
说明,4,word
要是,4,word
减肥,4,word
辛苦,4,word
肚子,4,word
感情,4,word
烦恼,4,word
掉,4,word
巧克力,4,word
亲戚,4,word
伤心,4,word
使,4,word
心情,4,word
愉快,4,word
景色,4,word
放松,4,word
压力,4,word
回忆,4,word
发生,4,word
成为,4,word
只要,4,word
师傅,4,word
大使馆,4,word
堵车,4,word
距离,4,word
耐心,4,word
生命,4,word
缺少,4,word
到处,4,word
态度,4,word
因此,4,word
科学,4,word
证明,4,word
往往,4,word
阳光,4,word
积极,4,word
特点,4,word
饼干,4,word
难道,4,word
得,4,word
坚持,4,word
放弃,4,word
主意,4,word
网球,4,word
国际,4,word
轻松,4,word
赢,4,word
随便,4,word
汗,4,word
通过,4,word
篇,4,word
作家,4,word
当时,4,word
可是,4,word
正确,4,word
理想,4,word
勇敢,4,word
结果,4,word
失败,4,word
过程,4,word
至少,4,word
总结,4,word
取,4,word
经历,4,word
许多,4,word
区别,4,word
暂时,4,word
礼拜天,4,word
空儿,4,word
母亲,4,word
不过,4,word
永远,4,word
方向,4,word
优秀,4,word
硕士,4,word
翻译,4,word
确实,4,word
兴奋,4,word
拉,4,word
建议,4,word
职业,4,word
关键,4,word
将来,4,word
发展,4,word
躺,4,word
困,4,word
经济,4,word
条件,4,word
富,4,word
穷,4,word
等,4,word
由于,4,word
比如,4,word
橡皮,4,word
糖,4,word
低,4,word
答案,4,word
流利,4,word
厉害,4,word
语法,4,word
准确,4,word
词语,4,word
连,4,word
阅读,4,word
来得及,4,word
复杂,4,word
只好,4,word
填空,4,word
猜,4,word
否则,4,word
客厅,4,word
无论,4,word
杂志,4,word
著名,4,word
页,4,word
增加,4,word
文章,4,word
之,4,word
内容,4,word
然而,4,word
看法,4,word
相同,4,word
顺序,4,word
表示,4,word
养成,4,word
同时,4,word
精彩,4,word
规定,4,word
死,4,word
可惜,4,word
全部,4,word
也许,4,word
商量,4,word
并且,4,word
盐,4,word
勺子,4,word
保护,4,word
作用,4,word
无法,4,word
节,4,word
详细,4,word
解释,4,word
对于,4,word
叶子,4,word
教育,4,word
使用,4,word
语言,4,word
直接,4,word
引起,4,word
误会,4,word
友好,4,word
节约,4,word
力气,4,word
相反,4,word
任务,4,word
意见,4,word
仔细,4,word
无,4,word
京剧,4,word
演员,4,word
观众,4,word
厚,4,word
演出,4,word
大概,4,word
来自,4,word
遍,4,word
偶尔,4,word
吃惊,4,word
基础,4,word
表演,4,word
正常,4,word
申请,4,word
有趣,4,word
开心,4,word
继续,4,word
由,4,word
讨论,4,word
大约,4,word
餐厅,4,word
纸袋,4,word
互联网,4,word
进行,4,word
错误,4,word
随着,4,word
十分,4,word
普遍,4,word
部分,4,word
稍微,4,word
苦,4,word
省,4,word
袋子,4,word
出差,4,word
毛巾,4,word
牙膏,4,word
重,4,word
行,4,word
省,4,word
污染,4,word
卫生间,4,word
脏,4,word
抱歉,4,word
空,4,word
盒子,4,word
扔,4,word
以,4,word
速度,4,word
地球,4,word
既然,4,word
停,4,word
得意,4,word
目的,4,word
暖,4,word
塑料袋,4,word
于是,4,word
鼓励,4,word
拒绝,4,word
减少,4,word
数量,4,word
温度,4,word
乘坐,4,word
丢,4,word
垃圾桶,4,word
美丽,4,word
弹钢琴,4,word
棒,4,word
孙子,4,word
寒假,4,word
父亲,4,word
响,4,word
醒,4,word
赶,4,word
厕所,4,word
批评,4,word
弄,4,word
管理,4,word
打针,4,word
护士,4,word
表扬,4,word
千万,4,word
怀疑,4,word
故意,4,word
敲,4,word
整理,4,word
合适,4,word
骗,4,word
儿童,4,word
假,4,word
左右,4,word
懒,4,word
笨,4,word
粗心,4,word
骄傲,4,word
害羞,4,word
博士,4,word
签证,4,word
报名,4,word
表格,4,word
传真,4,word
号码,4,word
参观,4,word
激动,4,word
小伙子,4,word
记者,4,word
恐怕,4,word
失望,4,word
郊区,4,word
到底,4,word
呀,4,word
导游,4,word
礼貌,4,word
原谅,4,word
挂,4,word
同情,4,word
推,4,word
预习,4,word
重点,4,word
马虎,4,word
自信,4,word
冷静,4,word
输,4,word
重视,4,word
敢,4,word
尊重,4,word
凉快,4,word
热闹,4,word
云,4,word
广播,4,word
照,4,word
倒,4,word
香山,4,word
长城,4,word
安娜,4,word
毛,4,word
抱,4,word
干,4,word
严格,4,word
难受,4,word
趟,4,word
放暑假,4,word
老虎,4,word
入口,4,word
排队,4,word
活泼,4,word
社会,4,word
竞争,4,word
森林,4,word
剩,4,word
暖和,4,word
海洋,4,word
底,4,word
公里,4,word
仍然,4,word
排列,4,word
梦,4,word
六一儿童节,4,word
亚洲,4,word
降落,4,word
火,4,word
作者,4,word
交通,4,word
技术,4,word
是否,4,word
秒,4,word
受不了,4,word
日记,4,word
安全,4,word
密码,4,word
允许,4,word
座,4,word
桥,4,word
危险,4,word
接着,4,word
警察,4,word
咸,4,word
矿泉水,4,word
付款,4,word
举,4,word
迷路,4,word
地址,4,word
地点,4,word
世纪,4,word
邮局,4,word
收,4,word
信封,4,word
网站,4,word
信息,4,word
学期,4,word
出生,4,word
性别,4,word
道歉,4,word
打印,4,word
复印,4,word
饺子,4,word
刀,4,word
破,4,word
脱,4,word
理发,4,word
包子,4,word
零钱,4,word
打招呼,4,word
戴,4,word
眼镜,4,word
国籍,4,word
抬,4,word
胳膊,4,word
转,4,word
租,4,word
厨房,4,word
房东,4,word
占线,4,word
功夫,4,word
乒乓球,4,word
羽毛球,4,word
场,4,word
禁止,4,word
座位,4,word
加油站,4,word
航班,4,word
推迟,4,word
高速公路,4,word
登机牌,4,word
首都,4,word
长江,4,word
旅行,4,word
可怜,4,word
对面,4,word
烤鸭,4,word
祝贺,4,word
合格,4,word
干杯,4,word
民族,4,word
打扮,4,word
笑话,4,word
存,4,word
钥匙,4,word
究竟,4,word
棵,4,word
汤,4,word
对话,4,word
普通话,4,word
小吃,4,word
收拾,4,word
出发,4,word
辣,4,word
香,4,word
酸,4,word
勺子,4,word
受到,4,word
启示,5,word
爽快,5,word
巴不得,5,word
嚷,5,word
拿手,5,word
佳肴,5,word
异常,5,word
勤劳,5,word
绅士,5,word
风度,5,word
十足,5,word
督促,5,word
打架,5,word
别扭,5,word
融洽,5,word
亲密,5,word
忽略,5,word
嫉妒,5,word
滔滔不绝,5,word
嘲笑,5,word
讨好,5,word
郑重,5,word
当面,5,word
人家,5,word
附和,5,word
大伙儿,5,word
和睦,5,word
宽容,5,word
疑惑,5,word
反问,5,word
瞬间,5,word
鸦雀无声,5,word
启蒙,5,word
反驳,5,word
意识,5,word
实行,5,word
严厉,5,word
约束,5,word
容貌,5,word
开朗,5,word
娇气,5,word
挑拨,5,word
留恋,5,word
恩怨,5,word
艘,5,word
福气,5,word
气质,5,word
筐,5,word
磅,5,word
挑剔,5,word
风趣,5,word
伶俐,5,word
闲话,5,word
丸,5,word
和蔼,5,word
和气,5,word
目光,5,word
慈祥,5,word
跨,5,word
自主,5,word
甭,5,word
脱离,5,word
诱惑,5,word
无比,5,word
向往,5,word
孤独,5,word
片刻,5,word
步伐,5,word
包围,5,word
感染,5,word
恨不得,5,word
跟前,5,word
团圆,5,word
近来,5,word
酝酿,5,word
刹那,5,word
反常,5,word
埋怨,5,word
体谅,5,word
无精打采,5,word
规划,5,word
熬,5,word
漫长,5,word
寂静,5,word
稿件,5,word
难得,5,word
心疼,5,word
掩饰,5,word
隐瞒,5,word
唠叨,5,word
吃苦,5,word
欣慰,5,word
本事,5,word
皱纹,5,word
顿时,5,word
不由得,5,word
热泪盈眶,5,word
扛,5,word
搅拌,5,word
掰,5,word
挎,5,word
搀,5,word
晾,5,word
敬礼,5,word
飞翔,5,word
鞠躬,5,word
啃,5,word
清晨,5,word
迎面,5,word
模样,5,word
打量,5,word
番,5,word
搓,5,word
迟疑,5,word
拜托,5,word
饱经沧桑,5,word
流露,5,word
朴实,5,word
过于,5,word
操劳,5,word
胡须,5,word
起码,5,word
口音,5,word
乡镇,5,word
原先,5,word
裁缝,5,word
港口,5,word
斯文,5,word
心眼儿,5,word
信誉,5,word
欺骗,5,word
学位,5,word
一流,5,word
主管,5,word
助手,5,word
骨干,5,word
小心翼翼,5,word
喜悦,5,word
拨,5,word
仍旧,5,word
隐约,5,word
浑身,5,word
馅儿,5,word
灿烂,5,word
惦记,5,word
丢人,5,word
炫耀,5,word
面子,5,word
辜负,5,word
期望,5,word
嫂子,5,word
泼,5,word
拾,5,word
伯母,5,word
岳母,5,word
搂,5,word
牵,5,word
侄子,5,word
投掷,5,word
削,5,word
掐,5,word
绣,5,word
拧,5,word
飘扬,5,word
厌倦,5,word
厌恶,5,word
倘若,5,word
发觉,5,word
承诺,5,word
草率,5,word
对抗,5,word
尝试,5,word
盲目,5,word
乘,5,word
喘气,5,word
饶恕,5,word
强迫,5,word
实施,5,word
不料,5,word
猛烈,5,word
子弹,5,word
蔑视,5,word
眼光,5,word
盯,5,word
愤怒,5,word
愚蠢,5,word
家伙,5,word
可恶,5,word
耍,5,word
流氓,5,word
扁,5,word
夕阳,5,word
留神,5,word
打猎,5,word
不顾,5,word
挣扎,5,word
窜,5,word
摆脱,5,word
死亡,5,word
恰巧,5,word
毫无,5,word
抵抗,5,word
部位,5,word
悲惨,5,word
未免,5,word
残忍,5,word
良心,5,word
锋利,5,word
缠绕,5,word
耗费,5,word
缺口,5,word
举世瞩目,5,word
巩固,5,word
孤立,5,word
草案,5,word
俯视,5,word
偿还,5,word
敌视,5,word
表态,5,word
解雇,5,word
雇佣,5,word
过奖,5,word
畅通,5,word
捍卫,5,word
迫不及待,5,word
依靠,5,word
借助,5,word
勉强,5,word
机构,5,word
栋,5,word
兴致勃勃,5,word
专程,5,word
修养,5,word
接连,5,word
涉及,5,word
隐私,5,word
反感,5,word
火药,5,word
忍耐,5,word
着想,5,word
策划,5,word
达成,5,word
口气,5,word
缓和,5,word
随意,5,word
而已,5,word
设置,5,word
动力,5,word
固然,5,word
恳切,5,word
无非,5,word
知音,5,word
客户,5,word
持久,5,word
崩溃,5,word
果断,5,word
斩钉截铁,5,word
思维,5,word
搭,5,word
执行,5,word
啥,5,word
薪水,5,word
弊端,5,word
拼命,5,word
搁,5,word
颠倒,5,word
权衡,5,word
津津有味,5,word
祥和,5,word
参照,5,word
代理,5,word
供给,5,word
宏伟,5,word
采纳,5,word
丰盛,5,word
复仇,5,word
抚养,5,word
安详,5,word
报仇,5,word
充沛,5,word
混合,5,word
加剧,5,word
报答,5,word
更正,5,word
操练,5,word
弊病,5,word
上任,5,word
职位,5,word
资深,5,word
创立,5,word
沏,5,word
风气,5,word
唯独,5,word
搭档,5,word
就职,5,word
边缘,5,word
眼色,5,word
指标,5,word
成天,5,word
吹牛,5,word
溜,5,word
等级,5,word
公道,5,word
哼,5,word
不像话,5,word
明明,5,word
欺负,5,word
大不了,5,word
展示,5,word
才干,5,word
计较,5,word
全力以赴,5,word
怠慢,5,word
敷衍,5,word
想方设法,5,word
凑合,5,word
忙碌,5,word
时光,5,word
飞跃,5,word
投诉,5,word
激情,5,word
年度,5,word
考核,5,word
敬业,5,word
兢兢业业,5,word
回报,5,word
当初,5,word
技巧,5,word
传授,5,word
人格,5,word
施展,5,word
时机,5,word
无赖,5,word
暧昧,5,word
章程,5,word
奠定,5,word
后顾之忧,5,word
性感,5,word
澄清,5,word
周年,5,word
动机,5,word
起草,5,word
断绝,5,word
见闻,5,word
做主,5,word
伤脑筋,5,word
枯燥,5,word
擅长,5,word
成本,5,word
急躁,5,word
顾虑,5,word
过度,5,word
致使,5,word
终身,5,word
悔恨,5,word
类似,5,word
并非,5,word
精确,5,word
天生,5,word
挫折,5,word
意志,5,word
敏锐,5,word
畏惧,5,word
勇于,5,word
伴随,5,word
日益,5,word
昔日,5,word
风光,5,word
亏损,5,word
倒闭,5,word
金融,5,word
危机,5,word
盈利,5,word
运行,5,word
裁员,5,word
意味着,5,word
英明,5,word
称心如意,5,word
除,5,word
争先恐后,5,word
热门,5,word
以致,5,word
饱和,5,word
就业,5,word
及早,5,word
机遇,5,word
心灵,5,word
免疫,5,word
决策,5,word
诬陷,5,word
惋惜,5,word
宰,5,word
疏远,5,word
镇定,5,word
取缔,5,word
削弱,5,word
遗失,5,word
遭殃,5,word
生疏,5,word
自满,5,word
请帖,5,word
公正,5,word
揍,5,word
羞耻,5,word
请柬,5,word
陷害,5,word
婴儿,5,word
翻天覆地,5,word
更新,5,word
酒窝,5,word
蹦,5,word
跌,5,word
疤,5,word
掩盖,5,word
大脑,5,word
确信,5,word
比喻,5,word
呈现,5,word
固有,5,word
阐述,5,word
陈述,5,word
见解,5,word
演变,5,word
推测,5,word
譬如,5,word
各抒己见,5,word
通缉,5,word
触犯,5,word
惩罚,5,word
忧郁,5,word
肺,5,word
器官,5,word
移植,5,word
面貌,5,word
极端,5,word
空前绝后,5,word
昏迷,5,word
清醒,5,word
言论,5,word
学说,5,word
遥远,5,word
陷入,5,word
思索,5,word
设想,5,word
性命,5,word
无忧无虑,5,word
崭新,5,word
停滞,5,word
动荡,5,word
复活,5,word
高潮,5,word
灭亡,5,word
制止,5,word
歌颂,5,word
合并,5,word
延期,5,word
推翻,5,word
简陋,5,word
混浊,5,word
批判,5,word
高尚,5,word
解散,5,word
服从,5,word
正经,5,word
玩意儿,5,word
憋,5,word
报警,5,word
绑架,5,word
受罪,5,word
吼,5,word
智能,5,word
奴隶,5,word
麻木,5,word
狼吞虎咽,5,word
伺候,5,word
眨,5,word
索性,5,word
作息,5,word
着手,5,word
安置,5,word
防止,5,word
薄弱,5,word
精致,5,word
庄重,5,word
分散,5,word
僵硬,5,word
四肢,5,word
特长,5,word
兴高采烈,5,word
摇滚,5,word
一举两得,5,word
冷落,5,word
踏实,5,word
空虚,5,word
要命,5,word
粥,5,word
消耗,5,word
弥补,5,word
沸腾,5,word
弥漫,5,word
往常,5,word
侦探,5,word
案件,5,word
突破,5,word
震惊,5,word
彩票,5,word
恐怖,5,word
袭击,5,word
干扰,5,word
安宁,5,word
额外,5,word
过渡,5,word
扩散,5,word
呻吟,5,word
废墟,5,word
登陆,5,word
人质,5,word
密封,5,word
散布,5,word
失踪,5,word
周折,5,word
酗酒,5,word
密度,5,word
利害,5,word
无知,5,word
破例,5,word
盛产,5,word
埋没,5,word
声势,5,word
野心,5,word
视野,5,word
饮食,5,word
蕴藏,5,word
传达,5,word
鲜明,5,word
区域,5,word
优异,5,word
以至,5,word
辉煌,5,word
和谐,5,word
调和,5,word
辽阔,5,word
飞禽走兽,5,word
湖泊,5,word
溪,5,word
丘陵,5,word
种植,5,word
精心,5,word
构思,5,word
烹饪,5,word
即便,5,word
素食,5,word
人间,5,word
体系,5,word
品种,5,word
认可,5,word
形态,5,word
栽培,5,word
培育,5,word
凡是,5,word
清晰,5,word
分辨,5,word
频率,5,word
调料,5,word
正宗,5,word
加工,5,word
照样,5,word
得力,5,word
内在,5,word
灵感,5,word
创新,5,word
就餐,5,word
排斥,5,word
折,5,word
跪,5,word
局限,5,word
诞生,5,word
继承,5,word
元素,5,word
活力,5,word
奥秘,5,word
地质,5,word
海滨,5,word
边疆,5,word
边界,5,word
坡,5,word
盆地,5,word
地势,5,word
温带,5,word
省会,5,word
支流,5,word
经纬,5,word
流浪,5,word
淋,5,word
拜访,5,word
见多识广,5,word
教养,5,word
懒惰,5,word
馋,5,word
趴,5,word
知足常乐,5,word
恭敬,5,word
君子,5,word
嗅觉,5,word
灵敏,5,word
敏捷,5,word
快活,5,word
扑,5,word
亲热,5,word
统统,5,word
迷人,5,word
模范,5,word
饲养,5,word
清洁,5,word
