phrase,en,id
泼,"to splash, to spill, rough and coarse, brutish",151
拾,to ascend in light steps,152
伯母,aunt,153
岳母,mother-in-law,154
搂,"to draw towards oneself, to gather, to gather up (one's gown",155
牵,"to lead along, to pull (an animal on a tether)",156
侄子,nephew,157
投掷,"to throw sth a long distance, to hurl, to throw at",158
削,"to peel with a knife, to pare, to cut (a ball at tennis etc)",159
掐,"to pick (flowers), to pinch, to nip, to pinch off, to clutch",160
绣,to embroider,161
拧,"to pinch, wring",162
飘扬,"to wave, to flutter, to fly",163
厌倦,"to be weary of, to be fed up with, tedious",164
厌恶,"to loathe, to hate, disgusted with sth",165
倘若,"provided that, supposing that, if",166
发觉,"to realize, to detect, to discover",167
承诺,"to promise, to undertake to do something, commitment",168
草率,"careless, negligent, sloppy, not serious",169
对抗,"to withstand, to resist, to stand off, antagonism, confrontation",170
尝试,"to try, to attempt",171
盲目,"blind, blindly, ignorant, lacking understanding",172
乘,"to avail oneself of, to take advantage of",173
喘气,"to breathe deeply, to pant",174
饶恕,"to forgive, to pardon, to spare",175
强迫,"to compel, to force",176
实施,"to implement, to carry out",177
不料,"unexpectedly, to one's surprise",178
猛烈,"fierce, violent (criticism etc)",179
子弹,bullet,180
蔑视,"to loathe, to despise, contempt",181
眼光,"gaze, insight, foresight, vision, way of looking at things",182
盯,"to watch attentively, to fix one's attention on, to stare at",183
愤怒,"angry, indignant, wrath, ire",184
愚蠢,"silly, stupid",185
家伙,"fellow, chap, guy",186
可恶,"repulsive, vile, hateful, abominable",187
耍,"to play, to behave (in an unsavory manner)",188
流氓,"rogue, hoodlum, gangster, immoral behavior",189
扁,flat,190
夕阳,"sunset, the setting sun",191
留神,"to take care, to be careful",192
打猎,to go hunting,193
不顾,"in spite of, regardless of",194
挣扎,to struggle,195
窜,"to flee, to scuttle, to exile or banish, to amend or edit",196
摆脱,"to break away from, to cast off (old ideas etc)",197
死亡,"to die, death",198
恰巧,"fortunately, unexpectedly, by coincidence",199
毫无,"not in the least, to completely lack",200
抵抗,"to resist, resistance",201
部位,"position, place",202
悲惨,"miserable, tragic",203
未免,"unavoidably, can't help, really, rather",204
残忍,"cruel, mean, merciless, ruthless",205
良心,conscience,206
锋利,"sharp (e.g. knife blade), incisive, to the point",207
缠绕,"twisting, to twine, to wind, to pester, to bother",208
耗费,"to waste, to spend, to consume, to squander",209
缺口,"nick, jag, gap, shortfall",210
举世瞩目,to receive worldwide attention,211
巩固,to consolidate,212
孤立,to isolate someone,213
草案,to draft,214
俯视,to look from above,215
偿还,to repay,216
敌视,to be hostile to,217
表态,to express one’s opinion,218
解雇,to fire someone from a job,219
雇佣,to hire,220
过奖,to over praise,221
畅通,to unblock (a congestion),222
捍卫,to defend,223
迫不及待,"impatient (idiom); in a hurry, itching to get on with it",224
依靠,"to rely on sth (for support etc), to depend on",225
借助,"to draw support from, with the help of",226
勉强,"to do with difficulty, to force sb to do sth, reluctant, barely enough",227
机构,"mechanism, structure, organization, agency, institution",228
栋,"classifier for houses or buildings, ridgepole (old)",229
兴致勃勃,"to become exhilarated (idiom); in high spirits, full of zest",230
专程,"specifically, specially (for that purpose)",231
修养,"accomplishment, training, self-cultivation",232
接连,"on end, in a row, in succession",233
涉及,"to involve, to touch upon (a topic)",234
隐私,"secrets, private business, privacy",235
反感,"to be disgusted with, to dislike, bad reaction, antipathy",236
火药,gunpowder,237
忍耐,"to show restraint, to repress (anger etc), to exercise patience",238
着想,"to give thought (to others), to consider (other people's needs)",239
策划,"to plot, to scheme, to bring about, to engineer, planning, producer",240
达成,"to reach (an agreement), to accomplish",241
口气,"tone of voice, the way one speaks, manner of expression, tone",242
缓和,"to ease (tension), to alleviate, to moderate, to allay",243
随意,"as one wishes, according to one's wishes, at will, voluntary",244
而已,"that's all, nothing more",245
设置,"to set up, to install",246
动力,"power, motion, propulsion, force",247
固然,admittedly (it's true that...),248
恳切,"earnest, sincere",249
无非,"only, nothing else",250
知音,"intimate friend, soul mate",251
客户,"client, customer",252
持久,"lasting, enduring, persistent, permanent, protracted, endurance",253
崩溃,"to collapse, to crumble, to fall apart",254
果断,"firm, decisive",255
斩钉截铁,lit. to chop the nail and slice the iron (idiom),256
思维,"(line of) thought, thinking",257
搭,"to put up, to build (scaffolding)",258
执行,"to implement, to carry out, to execute, to run",259
啥,dialectal equivalent of “什么”,260
薪水,"salary, wage",261
弊端,"malpractice, abuse, corrupt practice",262
拼命,"to do one's utmost, with all one's might, at all costs",263
搁,"to place, to put aside, to shelve",264
颠倒,"to turn upside down, to reverse, back to front, confused, deranged",265
权衡,"to weigh, to consider, to assess, to balance, to trade-off",266
津津有味,"with keen interest pleasure (idiom); with gusto, to relish, eagerly",267
祥和,auspicious and peaceful,268
参照,"to consult a reference, to refer to (another document)",269
代理,proxy; to act on behalf of sb,270
供给,"to furnish, to provide, supply (as in supply and demand)",271
宏伟,"grand, imposing, magnificent",272
采纳,"to accept, to adopt",273
丰盛,"rich, sumptuous",274
复仇,"to avenge, vengeance",275
抚养,"to foster, to bring up, to raise",276
安详,serene,277
报仇,"to take revenge, to avenge",278
充沛,"abundant, plentiful, vigorous",279
混合,"to mix, to blend",280
加剧,"to intensify, to sharpen, to accelerate, to aggravate, to exacerbate",281
报答,"to repay, to requite",282
更正,"to correct, to make a correction",283
操练,"drill, practice",284
弊病,"malady, evil, malpractice, drawback, disadvantage",285
上任,"to take office, previous (incumbent), predecessor",286
职位,"post, office, position",287
资深,"veteran (attributive), senior, highly experienced",288
创立,"to establish, to set up, to found",289
沏,to steep (tea),290
风气,"general mood, atmosphere, common practice",291
唯独,"only, just (i.e. it is only that...), all except, unique",292
搭档,"to cooperate, partner",293
就职,"to take office, to assume a post",294
边缘,"edge, fringe, verge, brink, periphery, marginal, borderline",295
眼色,"signal made with one's eyes, meaningful glance",296
指标,"target, quota, index, indicator, sign, signpost, (computing) pointer",297
成天,"all day long, all the time",298
吹牛,"to talk big, to shoot off one's mouth, to chat (dialect)",299
溜,"to slip away, to escape in stealth, to skate",300
等级,"grade, rank, status",301
公道,"justice, fairness, public highway",302
哼,"to groan, to snort, to hum, to croon, humph!",303
不像话,"unreasonable, shocking, outrageous",304
明明,"obviously, plainly, undoubtedly, definitely",305
欺负,to bully,306
大不了,"at worst, if worst comes to worst, serious, alarming",307
展示,"to reveal, to display, to show, to exhibit sth",308
才干,"ability, competence",309
计较,"to bother about, to haggle, to bicker, to argue, plan, stratagem",310
全力以赴,"to do at all costs, to make an all-out effort",311
怠慢,"to slight, to neglect",312
敷衍,"to elaborate (on a theme), to expound (the classics)",313
想方设法,to think up every possible method (idiom); to devise ways and means,314
凑合,"to bring together, to make do in a bad situation, to just get by",315
忙碌,"busy, bustling",316
时光,"time, era, period of time",317
飞跃,to leap,318
投诉,"complaint, to file a complaint, to sue",319
激情,"passion, fervor, enthusiasm, strong emotion",320
年度,"year (e.g. school year, fiscal year), annual",321
考核,"to examine, to check up on, to assess, to review, appraisal, review",322
敬业,"to be dedicated to one's work, to respect one's work",323
兢兢业业,cautious and conscientious,324
回报,"(in) return, reciprocation, payback, retaliation, to report back",325
当初,"at that time, originally",326
技巧,"skill, technique",327
传授,"to impart, to pass on, to teach",328
人格,"personality, integrity, dignity",329
施展,"to use fully, to put to use",330
时机,"fortunate timing, occasion, opportunity",331
无赖,"hoodlum, rascal, rogue, rascally, scoundrelly",332
暧昧,"vague, ambiguous, equivocal, dubious",333
章程,"rules, regulations",334
奠定,"to establish, to fix, to settle",335
后顾之忧,worries about the future consequences,336
性感,"sex appeal, eroticism, sexuality, sexy",337
澄清,"clear (of liquid), limpid, to clarify, to make sth clear",338
周年,"anniversary, annual",339
动机,"motor, locomotive, motive, motivation, intention",340
起草,"to make a draft, to draw up (plans)",341
断绝,"to sever, to break off",342
见闻,"what one sees and hears, knowledge, information",343
做主,"be the master, make one’s own decisions",344
伤脑筋,"to be a real headache, to find sth a real headache",345
枯燥,"dry and dull, uninteresting, dry-as-dust",346
擅长,"to be good at, to be expert in",347
成本,"(manufacturing, production etc) costs",348
急躁,"irritable, irascible, impetuous",349
顾虑,"misgivings, apprehensions",350
过度,"excessive, over-, excess, going too far, extravagant, intemperate",351
致使,"to cause, to result in",352
终身,"lifelong, all one's life, marriage",353
悔恨,"remorse, repentance",354
类似,"similar, analogous",355
并非,really isn't,356
精确,"accurate, precise",357
天生,"nature, disposition, innate, natural",358
挫折,"setback, reverse, check, defeat, frustration, disappointment",359
意志,"will, willpower, determination",360
敏锐,"keen, sharp, acute",361
畏惧,"to fear, to dread, foreboding",362
勇于,"to dare to, to be brave enough to",363
伴随,"to accompany, to follow, to occur together with, concomitant",364
日益,"day by day, more and more, increasingly",365
昔日,"formerly, in olden days",366
风光,"scene, view, sight, landscape, to be well-regarded, to be well-off",367
亏损,"deficit, (financial) loss",368
倒闭,"to go bankrupt, to close down",369
金融,"banking, finance, financial",370
危机,crisis,371
盈利,"profit, gain",372
运行,"to be in motion, to move, (of a computer) to run",373
裁员,"to cut staff, to lay off employees",374
意味着,"to signify, to mean, to imply",375
英明,"wise, brilliant",376
称心如意,after one's heart (idiom); gratifying and satisfactory,377
除,"to get rid of, to remove, to exclude, to eliminate, to wipe out",378
争先恐后,striving to be first and fearing to be last (idiom),379
热门,"popular, hot, in vogue",380
以致,"to such an extent as to, down to, up to",381
饱和,saturation,382
就业,"looking for employment, getting a job, to start a career",383
及早,"at the earliest possible time, as soon as possible",384
机遇,"opportunity, favorable circumstance, stroke of luck",385
心灵,"bright, smart, quick-witted, heart, thoughts, spirit",386
免疫,immunity (to disease),387
决策,"strategic decision, decision-making, policy decision",388
诬陷,"to entrap, to frame, to plant false evidence against sb",389
惋惜,"to regret, to feel that it is a great pity",390
宰,to slaughter livestock,391
疏远,"to drift apart, to become estranged",392
镇定,"calm, unperturbed, cool",393
取缔,"to ban, to prohibit (publications, customs etc)",394
削弱,"to weaken, to impair, to cripple",395
遗失,"to lose, lost",396
遭殃,to suffer a calamity,397
生疏,"unfamiliar, strange, out of practice",398
自满,"complacent, self-satisfied",399
请帖,"invitation card, written invitation",400
公正,"just, fair, equitable",401
揍,"to beat up, to break to pieces",402
羞耻,(a feeling of) shame,403
请柬,"invitation card, written invitation",404
陷害,"to entrap, to set up, to frame (up)",405
婴儿,"infant, baby, lead (Pb)",406
翻天覆地,"earth-shattering (change), lit. sky and the earth turning upside down",407
更新,"to replace the old with new, to renew, to renovate, to upgrade",408
酒窝,dimple,409
蹦,"to jump, to bounce, to hop",410
跌,"to drop, to fall, to tumble, Taiwan pr. ",411
疤,"scar, scab",412
掩盖,"to conceal, to hide behind, to cover up",413
大脑,"brain, cerebrum",414
确信,"to be convinced, to be sure, to firmly believe, to be positive that",415
比喻,"to compare, to liken to, metaphor, analogy, figure of speech",416
呈现,"to appear, to emerge, to present (a certain appearance)",417
固有,"intrinsic to sth, inherent, native",418
阐述,"to expound (a position), to elaborate (on a topic)",419
陈述,"an assertion, to declare, to state",420
见解,"opinion, view, understanding",421
演变,"to develop, to evolve",422
推测,"speculation, to conjecture, to surmise, to speculate",423
譬如,"for example, for instance, such as",424
各抒己见,everyone gives their own view,425
通缉,"to order the arrest of sb as criminal, to list as wanted",426
触犯,to offend,427
惩罚,"penalty, punishment, to punish",428
忧郁,"sullen, depressed, melancholy, dejected",429
肺,lung,430
器官,"organ (part of body tissue), apparatus",431
移植,to transplant,432
面貌,"appearance, face, features",433
极端,extreme,434
空前绝后,"unprecedented and never to be duplicated, the first and the last",435
昏迷,"to lose consciousness, to be in a coma, stupor, coma, stunned",436
清醒,"clear-headed, sober, awake",437
言论,"expression of opinion, views, remarks, arguments",438
学说,"theory, doctrine",439
遥远,"distant, remote",440
陷入,"to sink into, to get caught up in, to land in (a predicament)",441
思索,"to think deeply, to ponder",442
设想,"to imagine, to assume, to envisage, tentative plan",443
性命,life,444
无忧无虑,carefree and without worries (idiom),445
崭新,brand new,446
停滞,"stagnation, at a standstill, bogged down",447
动荡,turbulent,448
复活,resurrection,449
高潮,"high tide, high water, upsurge, climax, orgasm",450
灭亡,"to be destroyed, to become extinct, to perish, to die out, to destroy",451
制止,"to curb, to put a stop to, to stop, to check, to limit",452
歌颂,"to sing the praises of, to extol, to eulogize",453
合并,to merge,454
延期,"to delay, to extend, to postpone, to defer",455
推翻,to overthrow,456
简陋,simple and crude,457
混浊,"muddy, turbid",458
批判,"to criticize, critique",459
高尚,"noble, lofty, refined, exquisite",460
解散,"to dissolve, to disband",461
服从,"to obey (an order), to comply, to defer",462
正经,"decent, honorable, proper, serious, according to standards",463
玩意儿,"toy, thing, trinket, knickknack",464
憋,"to choke, to stifle, to restrain, to hold back, to hold in (urine)",465
报警,"to sound an alarm, to report sth to the police",466
绑架,"to kidnap, to abduct, to hijack, a kidnapping, abduction, staking",467
受罪,"to endure, to suffer, hardships, torments, a hard time, a nuisance",468
吼,"roar or howl of an animal, bellow of rage",469
智能,"intelligent, able, smart (phone, system, bomb etc)",470
奴隶,slave,471
麻木,"numb, insensitive, apathetic",472
狼吞虎咽,to wolf down one's food (idiom); to devour ravenously,473
伺候,"to serve, to wait upon",474
眨,"to blink, to wink",475
索性,"you might as well (do it), simply, just",476
作息,work and rest,477
着手,"to put one's hand to it, to start out on a task, to set out",478
安置,"to find a place for, to help settle down, to arrange for",479
防止,"to prevent, to guard against, to take precautions",480
薄弱,"weak, frail",481
精致,"delicate, fine, exquisite, refined",482
庄重,"grave, solemn, dignified",483
分散,"to scatter, to disperse, to distribute",484
僵硬,"stiff, rigid",485
四肢,the four limbs of the body,486
特长,"personal strength, one's special ability or strong points",487
兴高采烈,"in high spirits, cheerful",488
摇滚,"rock 'n' roll (music), to rock, to fall off",489
一举两得,"one move, two gains (idiom); two birds with one stone",490
冷落,"desolate, unfrequented, to treat sb coldly, to snub, to cold shoulder",491
踏实,"firmly based, steady, steadfast, to have peace of mind",492
空虚,"hollow, emptiness, meaningless",493
要命,"to cause sb's death, very, extremely, frightening, annoying",494
粥,porridge,495
消耗,"to use up, to consume",496
弥补,"to complement, to make up for a deficiency",497
沸腾,"boiling, ebullition",498
弥漫,"to pervade, to fill the air",499
往常,"habitually (in the past), as one used to do formerly, as it used to be",500
侦探,"detective, to do detective work",501
案件,"case, instance",502
突破,"to break through, to make a breakthrough",503
震惊,"to shock, to astonish",504
彩票,lottery ticket,505
恐怖,"terrible, frightful, frightening, terror, terrorist",506
袭击,"attack (esp. surprise attack), raid, to attack",507
干扰,"to disturb, to interfere, perturbation, interference (physics)",508
安宁,at peace,509
额外,"extra, added, additional",510
过渡,transition,511
扩散,"to spread, to proliferate, to diffuse, spread, proliferation",512
呻吟,groan,513
废墟,ruins,514
登陆,"to land, to come ashore, to make landfall (of typhoon etc), to log in",515
人质,hostage,516
密封,to seal up,517
散布,to disseminate,518
失踪,"to be missing, to disappear, unaccounted for",519
周折,twists and turns,520
酗酒,excessive drinking,521
密度,"density, thickness",522
利害,interest,523
无知,"ignorant, ignorance",524
破例,to make an exception,525
盛产,"to produce in abundance, to be rich in",526
埋没,"to engulf, to bury, to overlook, to stifle, to neglect",527
声势,momentum,528
野心,ambition,529
视野,"field of view, horizon",530
饮食,"food and drink, diet",531
蕴藏,"to hold in store, to contain (untapped reserves etc)",532
传达,"to pass on, to convey, to relay, to transmit, transmission",533
鲜明,"bright, clear-cut, distinct",534
区域,"area, region, district",535
优异,"exceptional, outstandingly good",536
以至,"down to, up to, to such an extent as to ...",537
辉煌,"splendid, glorious",538
和谐,"harmonious, harmony, (euphemism) to censor",539
调和,"harmonious, to mediate, to reconcile, to compromise, mediation, to mix",540
辽阔,"vast, extensive",541
飞禽走兽,"birds and animals, the beasts of the field and the birds of the air",542
湖泊,lake,543
溪,"creek, rivulet",544
丘陵,hills,545
种植,"to plant, to grow",546
精心,"meticulously, detailed",547
构思,"to design, to plot, to plan out, to compose, to draw a mental sketch",548
烹饪,"cooking, culinary arts",549
即便,"even if, even though, right away, immediately",550
素食,"vegetables, vegetarian food",551
人间,"the human world, the earth",552
体系,"system, setup",553
品种,"breed, variety",554
认可,"to approve, approval, acknowledgment, OK",555
形态,"shape, form, pattern, morphology",556
栽培,"to grow, to cultivate, to train, to educate, to patronize",557
培育,"to train, to breed",558
凡是,"each and every, every, all, any",559
清晰,"clear, distinct",560
分辨,"to distinguish, to differentiate, to resolve",561
频率,frequency,562
调料,"condiment, seasoning, flavoring",563
正宗,"orthodox school, fig. traditional, old school, authentic, genuine",564
加工,"to process, processing, working (of machinery)",565
照样,"as before, (same) as usual",566
得力,"able, capable, competent, efficient",567
内在,"intrinsic, innate",568
灵感,"inspiration, insight",569
创新,"innovation, to bring forth new ideas, to blaze new trails",570
就餐,to dine,571
排斥,"to reject, to exclude, to eliminate, to remove, to repel",572
折,"to break (e.g. stick or bone), a loss",573
跪,to kneel,574
局限,limitation,575
诞生,to be born,576
继承,"to inherit, to carry on, to succeed",577
元素,"element, element of a set, chemical element",578
活力,"energy, vitality, vigor, vital force",579
奥秘,"secret, mystery",580
地质,geology,581
海滨,"shore, seaside",582
边疆,"border area, borderland, frontier, frontier region",583
边界,"boundary, border",584
坡,"slope, sloping, slanted",585
盆地,"basin (low-lying geographical feature), depression",586
地势,"terrain, topography relief",587
温带,temperate zone,588
省会,provincial capital,589
支流,tributary (river),590
经纬,"warp and woof, longitude and latitude, main points",591
流浪,"to drift about, to wander, to roam, nomadic, homeless",592
淋,"to sprinkle, to drip, to pour, to drench",593
拜访,"to pay a visit, to call on",594
见多识广,experienced and knowledgeable (idiom),595
教养,"to train, to educate, to bring up, to nurture, education, culture",596
懒惰,"idle, lazy",597
馋,"gluttonous, greedy, to have a craving",598
趴,"to lie on one's stomach, to lean forward",599
知足常乐,satisfied with what one has (idiom),600
恭敬,"deferential, respectful",601
君子,"nobleman, person of noble character",602
嗅觉,sense of smell,603
灵敏,"smart, clever, sensitive, keen, quick, sharp",604
敏捷,"nimble, quick, shrewd",605
快活,"happy, cheerful",606
扑,"to throw oneself at, to pounce on, to devote one's energies, to flap",607
亲热,"affectionate, intimate, warm-hearted",608
统统,totally,609
迷人,"fascinating, enchanting, charming, tempting",610
模范,"model, fine example",611
饲养,"to raise, to rear",612
清洁,clean,613
喂,to feed,614
繁忙,"busy, bustling",615
急切,"eager, impatient",616
例外,"exception, to be an exception",617
凝视,"to gaze at, to fix one's eyes on",618
深沉,"deep, profound, (of a person) reserved, undemonstrative, (of a voice",619
监视,"to monitor, to oversee, to keep a close watch over, to spy on",620
举动,"act, action, activity, move, movement",621
缺陷,"defect, flaw, physical defect",622
镜头,"camera lens, camera shot (in a movie etc), scene",623
自力更生,"regeneration through one's own effort (idiom), self-reliance",624
尖端,"sharp pointed end, the tip, the cusp, tip-top",625
钻研,"to study meticulously, to delve into",626
动态,"movement, motion, development, trend, dynamic (science)",627
储存,"stockpile, to store, to stockpile, storage",628
遥控,remote control,629
操纵,"to operate, to control, to rig, to manipulate",630
跟踪,"to follow sb's tracks, to tail, to shadow, tracking",631
角落,"nook, corner",632
误差,"difference, error, inaccuracy",633
踪迹,"tracks, trail, footprint, trace, vestige",634
动静,"sound of activity or people talking, news of activity",635
操作,"to work, to operate, to manipulate",636
床单,bed sheet,637
钩子,hook,638
膜,"membrane, film",639
锤,"hammer, to hammer into shape, weight (e.g. of a steelyard or balance)",640
轮胎,"tire, pneumatic tire",641
话筒,"microphone, (telephone) receiver, handset",642
嘈杂,"noisy, clamorous",643
莫名其妙,unfathomable mystery (idiom); subtle and ineffable,644
淘汰,"to wash out, elimination (by selection), natural selection",645
不妨,"there is no harm in, might as well",646
描绘,"to describe, to portray",647
波浪,wave,648
岩石,rock,649
抚摸,"to gently caress and stroke, to pet, to fondle",650
务必,"must, to need to, to be sure to",651
警惕,"to be on the alert, vigilant, alert, on guard, to warn",652
解除,"to remove, to sack, to get rid of, to relieve (sb of their duties)",653
不得已,"to act against one’s will, to have no alternative but to, to have to",654
暴露,"to expose, to reveal, to lay bare, also pr. ",655
惹祸,"to stir up trouble, to invite disaster",656
雌雄,male and female,657
祖先,"ancestor, forebears",658
遗留,"to leave behind, to hand down",659
嘛,modal particle indicating that sth is obvious,660
延续,"to continue, to go on, to last",661
后代,"posterity, later periods, later ages, later generations",662
呼唤,"to call out (a name etc), to shout",663
竖,"to set upright, to put up",664
原始,"first, original, primitive, original (document etc)",665
进化,evolution,666
靠拢,to draw close to,667
神经,"nerve, mental state, unhinged, nutjob",668
生物,"organism, living creature, life form, biological",669
配偶,"consort, mate, spouse",670
世代,"generation, an era, accumulation of years",671
暗示,"to hint, to suggest, suggestion, hint",672
提示,"to prompt, to present, to point out, to draw attention to sth, hint",673
鉴于,"in view of, in light of",674
功效,efficacy,675
理所当然,as it should be by rights (idiom),676
疾病,"disease, sickness, ailment",677
患者,"patient, sufferer",678
辅助,"to assist, to aid, supplementary, auxiliary, subsidiary",679
症状,symptom (of an illness),680
愈,"the more...(the more...), to recover, to heal, better",681
障碍,"barrier, obstruction, hindrance, impediment, obstacle",682
噪音,noise,683
给予,"to accord, to give, to show (respect)",684
嘿,hey,685
对应,"to correspond, a correspondence, corresponding, homologous",686
报复,"to make reprisals, to retaliate, revenge, retaliation",687
东道主,"host, official host (e.g. venue for games or a conference)",688
处分,"to discipline sb, to punish",689
对称,"symmetry, symmetrical",690
补贴,"to subsidize, subsidy, allowance, to supplement (one's salary etc)",691
巢穴,"lair, nest, den, hideout",692
档案,"file, record, archive",693
报销,"to submit an expense account, to apply for reimbursement, to write off",694
颁发,"to issue, to promulgate, to award",695
哺乳,"breast feeding, to suckle, to nurse",696
备份,backup,697
变迁,"changes, vicissitudes",698
