phrase,en,id
景色,"scene, view",217
放松,to relax,218
压力,"pressure, stress",219
回忆,"to call to mind, to recall",220
发生,"to happen, to take place",221
成为,to become,222
只要,"as long as, provided",223
师傅,(polite title for someone skilled in a trade or handicraft),224
大使馆,embassy,225
堵车,traffic jam,226
距离,distance,227
耐心,patience,228
生命,life,229
缺少,to lack,230
到处,everywhere,231
态度,attitude,232
因此,"therefore, so",233
科学,science,234
证明,to prove,235
往往,"often, usually",236
阳光,"sunny, optimistic, cheerful",237
积极,"positive, proactive",238
特点,characteristic,239
饼干,biscuit,240
难道,used in a rhetorical question for emphasis,241
得,"must, have to",242
坚持,"to insist, to persist",243
放弃,to give up,244
主意,"idea, plan",245
网球,tennis,246
国际,international,247
轻松,"relaxed, effortless",248
赢,to win,249
随便,"casual, at random",250
汗,"sweat, perspiration",251
通过,"through, by means of",252
篇,measure word for writings or articles,253
作家,writer,254
当时,"then, at that time",255
可是,"but, however",256
正确,"right, correct",257
理想,ideal,258
勇敢,"brave, courageous",259
结果,result,260
失败,to fail,261
过程,"course, process",262
至少,at least,263
总结,to sum up,264
取,"to gain, to seek",265
经历,"to go through, to experience",266
许多,"many, plenty of",267
区别,"difference , distinction",268
暂时,"temporary, for the",269
礼拜天,sunday,270
空儿,"free time, spare time",271
母亲,mother,272
不过,"but, yet",273
永远,forever,274
方向,"direction, orientation",275
优秀,"excellent, outstanding",276
硕士,holder of master’s degree,277
翻译,"translator, interpreter",278
确实,"truly, indeed",279
兴奋,excited,280
拉,"to pull, to drag",281
建议,suggestion,282
职业,"occupation, profession",283
关键,"key (as in key word, key issue)",284
将来,future,285
发展,"to develop, to promote",286
躺,to lie (on one’s back),287
困,sleepy,288
经济,economy,289
条件,condition,290
富,"rich, wealthy",291
穷,"poor, impoverished",292
等,"etc, and so on",293
由于,"because, since",294
比如,"for example, such as",295
橡皮,"eraser, rubber",296
糖,"sugar, candy",297
低,low,298
答案,"answer, answer key",299
流利,fluent,300
厉害,"awesome, serious",301
语法,grammar,302
准确,"accurate, precise",303
词语,"word, expression",304
连,even (as in “even HE can do it”),305
阅读,to read,306
来得及,"not to late to (do something), there’s still time to (do something)",307
复杂,complicated,308
只好,have no choice but to (do something),309
填空,to fill in a blank,310
猜,to guess,311
否则,otherwise,312
客厅,living room,313
无论,"regardless of, no matter (what, how, when, etc)",314
杂志,magazine,315
著名,"famous, well-known",316
页,page,317
增加,"to increase, to add",318
文章,"essay, article",319
之,apostrophe + s (similar to 的),320
内容,n. content,321
然而,"but, however",322
看法,"viewpoint, opinion",323
相同,same,324
顺序,"order, sequence",325
表示,"to express, to indicate",326
养成,"to develop, to form",327
同时,"at the same time, meanwhile",328
精彩,"wonderful, splendid",329
规定,"rule, regulation",330
死,"rigid, inflexible",331
可惜,"pitiful, regretful",332
全部,"all, whole",333
也许,"maybe, perhaps",334
商量,"to discuss, to consult",335
并且,and,336
盐,salt,337
勺子,spoon,338
保护,to protect,339
作用,function,340
无法,"cannot, unable, same as 不能",341
节,"measure word for lessons, literally means “section”",342
详细,detailed,343
解释,to explain,344
对于,with regard to,345
叶子,leaf,346
教育,to educate,347
使用,to use,348
语言,language,349
直接,"direct, straight",350
引起,"to cause, to lead to",351
误会,misunderstanding,352
友好,friendly,353
节约,to conserve (resource),354
力气,"effort, strength",355
相反,"opposite, on the contrary",356
任务,"task, mission",357
意见,"opinion, suggestion",358
仔细,"careful, meticulous",359
无,"have not, same as 没有",360
京剧,Beijing opera,361
演员,actor/actress,362
观众,audience,363
厚,"deep, profound",364
演出,"performance (theatrical, musical)",365
大概,"roughly, approximately",366
来自,to come from,367
遍,once (as in doing something once from start to finish),368
偶尔,"occasionally, once in a while",369
吃惊,"to be surprised, to be shocked",370
基础,"basis, foundation",371
表演,"to act, to perform",372
正常,"normal, regular",373
申请,to apply for,374
有趣,"interesting, fun",375
开心,"happy, glad",376
继续,"to go on, to continue",377
由,by (as in done by someone),378
讨论,"to discuss, to talk over",379
大约,"approximately, about",380
餐厅,restaurant,381
纸袋,paper bag,382
互联网,Internet,383
进行,"to conduct, to carry out",384
错误,wrong,385
随着,"along with, as",386
十分,"very, extremely",387
普遍,"universal, common",388
部分,part,389
稍微,"a little, slightly",390
苦,bitter,391
省,province,392
袋子,"bag, sack",393
出差,to go on a business trip,394
毛巾,towel,395
牙膏,toothpaste,396
重,"heavy, weighty",397
行,"OK, agreed",398
省,to save cost,399
污染,to pollute,400
卫生间,restroom,401
脏,dirty,402
抱歉,sorry,403
空,empty,404
盒子,"box, case",405
扔,to throw away,406
以,"with, using",407
速度,speed,408
地球,earth,409
既然,"since (as in “since that is the case, then…”)",410
停,to stop,411
得意,"complacent, gloating",412
目的,"aim, purpose",413
暖,warm,414
塑料袋,plastic bag,415
于是,"hence, therefore",416
鼓励,to encourage,417
拒绝,"to refuse, to reject",418
减少,"to lessen, reduce, decrease",419
数量,"quantity, amount",420
温度,temperature,421
乘坐,to take (a vehicle),422
丢,to throw,423
垃圾桶,trash can,424
美丽,beautiful,425
弹钢琴,to play the piano,426
棒,"excellent, amazing",427
孙子,grandson,428
寒假,winter vacation,429
父亲,father,430
响,"to sound, to ring",431
醒,"to wake up, to be awake",432
赶,"to rush for, to hurry",433
厕所,"restroom, bathroom",434
批评,to criticize,435
弄,"to do, to make",436
管理,"to manage, to administer",437
打针,to get a shot (injection),438
护士,nurse,439
表扬,"to praise, to commend",440
千万,ever (as in “don’t ever do it”),441
怀疑,to suspect,442
故意,"intentionally, on purpose",443
敲,"to knock, to beat, to strike",444
整理,"to tidy up, to arrange",445
合适,"to be fitting, to be suitable",446
骗,"to fool, to deceive",447
儿童,children,448
假,fake,449
左右,around,450
懒,lazy,451
笨,stupid,452
粗心,careless,453
骄傲,arrogant,454
害羞,to be shy,455
博士,doctor (academic degree),456
签证,visa,457
报名,"to apply, to sign up",458
表格,"form, table",459
传真,to send by fax,460
号码,number,461
参观,"to visit, to look around",462
激动,"excited, emotional",463
小伙子,young man,464
记者,"journalist, reporter",465
恐怕,(indicating an estimation) I guess…,466
失望,disappointed,467
郊区,"suburb, outskirts",468
到底,… on earth? (used in questions for emphasis),469
呀,speech particle at the end of a sentence,470
导游,tour guide,471
礼貌,polite,472
原谅,to forgive,473
挂,to hang,474
同情,to show sympathy for,475
推,"to put off, to postpone",476
预习,to preview lessons before class,477
重点,"focal point, emphasis",478
马虎,careless,479
自信,self-confident,480
冷静,"calm, composed",481
输,"to lose, to suffer defeat",482
重视,to view something as important,483
敢,"to have the courage, to dare (doing something)",484
尊重,to respect,485
凉快,pleasantly cool (temperature),486
热闹,"busy, bustling",487
云,cloud,488
广播,"broadcast, radio program",489
照,"to take a picture, to photograph",490
倒,"(used to indicate contrast) yet, actually",491
香山,Xiangshan (Fragrant Hill) in Beijing,492
长城,The Great Wall,493
安娜,Anna,494
毛,"hair, fur",495
抱,"to hold in the arms, to hug",496
干,"to do, to act",497
严格,"strict, rigorous",498
难受,"sad, unhappy",499
趟,(used for a round trip) time,500
放暑假,to be on summer vacation,501
老虎,tiger,502
入口,entrance,503
排队,"to form a line, to line up",504
活泼,"lively, vivacious",505
社会,society,506
竞争,to compete,507
森林,forest,508
剩,"to be left over, to remain",509
暖和,warm,510
海洋,"sea, ocean",511
底,"bottom, base",512
公里,kilometer,513
仍然,"still, yet",514
排列,"to put in order, to arrange",515
梦,dream,516
六一儿童节,International Children’s Day,517
亚洲,Asia,518
降落,"to descend, to land",519
火,"hot, popular",520
作者,author,521
交通,"traffic, transportation",522
技术,technology,523
是否,"if, whether",524
秒,a second (of time),525
受不了,"cannot stand, cannot bear",526
日记,"diary, journal",527
安全,"safe, secure",528
密码,password,529
允许,"to allow , to permit",530
座,"measure word for bridges, mountains, buildings, etc.",531
桥,bridge,532
危险,dangerous,533
接着,"then, immediately after that",534
警察,police,535
咸,salty,536
矿泉水,mineral water,537
付款,to pay money,538
举,"to give, to enumerate",539
迷路,to lose one's way,540
地址,address,541
地点,"place, site",542
世纪,century,543
邮局,post office,544
收,to receive,545
信封,envelope,546
网站,website,547
信息,"news, information",548
学期,"term, semester",549
出生,to be born,550
性别,gender,551
道歉,to apologize,552
打印,to print out,553
复印,"to photocopy, to xerox",554
饺子,"jiaozi, dumpling",555
刀,knife,556
破,"broken, tom",557
脱,to take off (clothes),558
理发,to get a haircut,559
包子,steamed stuffed bun,560
零钱,spare change,561
打招呼,"to greet, to say hello",562
戴,to wear (accessories),563
眼镜,glasses,564
国籍,"nationality, citizenship",565
抬,"to lift, to raise",566
胳膊,arm,567
转,"to turn, to shift",568
租,"to rent, to lease",569
厨房,kitchen,570
房东,landlord/landlady,571
占线,(telephone line) busy,572
功夫,kungfu,573
乒乓球,"table tennis, ping-pong",574
羽毛球,badminton,575
场,"used for sports or recreational events, etc.",576
禁止,"to prohibit, to forbid",577
座位,seat,578
加油站,gas station,579
航班,scheduled flight,580
推迟,"to postpone, to delay",581
高速公路,expressway,582
登机牌,boarding pass,583
首都,capital (of a country),584
长江,Yangtze River,585
旅行,"to travel, to tour",586
可怜,"pitiable, poor",587
对面,"opposite, across",588
烤鸭,roast duck,589
祝贺,to congratulate,590
合格,"qualified, up to standard",591
干杯,to drink a toast,592
民族,"nationality, ethnic group",593
打扮,"to dress up, to deck out",594
笑话,joke,595
存,"to store, to keep",596
钥匙,key,597
究竟,(used in questions for emphasis) exactly,598
棵,measure word for plants,599
汤,soup,600
对话,to have a dialogue,601
普通话,Mandarin Chinese,602
小吃,small and cheap dishes,603
收拾,"to put in order, to pack",604
出发,"to depart, to set off",605
辣,"hot, spicy",606
香,"fragrant, scented",607
酸,"sour, tart",608
勺子,spoon,609
受到,to suffer,610
